1	 	 	 	5	6	7	 	9	10	11	 	13	 
1	2	3	4	5	6	7	8	9	10	11	 	13	 
1	2	3	4	5	6	7	8	9	10	11	12	13	14
1	2	3	4	5	6	7	8	9	10	11	12	13	 
1	2	3	4	5	6	7	8	9	10	11	12	13	14
1	2	3	4	5	6	7	8	9	10	11	 	13	 
 	 	 	4	 	 	 	 	 	 	 	 	13	 
 	 	 	 	 	 	 	 	 	 	 	 	13	 
 	 	 	4	5	 	7	 	 	 	11	 	13	 
1	2	 	4	5	6	7	8	9	10	11	 	13	 
 	 	 	 	 	6	7	 	 	 	 	 	13	 
 	 	 	4	 	6	7	 	 	10	 	 	13	 
1	2	3	4	5	6	7	8	9	10	 	 	13	 
1	2	3	4	5	6	7	8	9	10	 	12	13	 
1	2	3	4	5	6	7	8	9	10	11	12	13	 
1	2	3	4	5	6	7	8	9	10	11	12	13	14
1	2	3	4	5	6	7	8	9	10	11	12	13	14
 	2	3	4	5	6	7	8	9	10	11	 	13	 
1	2	3	4	5	6	7	8	9	10	11	 	13	 
1	2	3	4	5	6	7	8	9	10	 	 	13	14
1	2	3	4	5	6	7	8	9	10	 	12	13	14
 	 	 	 	5	6	7	8	9	10	 	 	13	 
 	2	 	4	5	6	7	8	9	10	11	 	13	 
1	2	3	4	5	6	7	8	9	10	11	12	13	14
1	2	3	4	5	6	7	8	9	10	11	12	13	14
1	2	3	4	5	6	7	8	9	10	11	12	13	14
1	2	3	4	5	6	7	8	9	10	11	12	13	14
1	2	3	4	5	6	7	8	9	10	11	12	13	14
1	2	3	4	5	6	7	8	9	10	 	12	13	14
1	2	3	4	5	6	7	8	9	10	11	12	 	 
 	2	3	 	5	 	 	8	 	 	11	 	13	 
 	 	3	4	5	6	7	8	9	 	11	 	13	 
 	 	 	 	 	 	 	 	 	 	 	 	13	 
 	 	 	 	 	 	7	 	 	 	11	 	13	 
1	2	3	4	5	6	7	8	9	10	11	 	13	14
1	2	3	4	5	6	7	8	9	10	11	12	13	14
1	2	3	4	5	6	7	8	9	10	11	12	13	14
 	 	 	4	5	6	7	 	 	10	 	 	13	 
 	2	 	4	5	6	7	8	9	10	 	 	13	 
1	2	3	4	5	6	7	8	9	10	11	12	 	14
1	2	3	4	5	6	7	8	9	10	11	12	 	14
1	2	3	4	5	6	7	8	9	10	11	12	 	14
1	 	 	4	5	6	7	8	9	10	11	12	13	14
 	 	 	 	 	 	 	 	 	 	11	 	13	 
 	 	 	4	5	6	7	8	9	10	11	 	13	 
 	 	3	4	5	6	7	8	9	10	 	 	13	14
1	2	3	4	5	6	7	8	9	10	11	12	13	14
1	2	3	4	5	6	7	8	9	10	11	 	13	 
1	2	3	4	5	6	7	8	9	10	11	12	13	 
1	2	3	4	5	6	7	8	9	10	 	 	13	14
 	2	 	4	5	6	7	8	9	10	11	 	13	14
 	2	3	4	5	6	7	8	9	10	11	 	13	14
1	2	3	4	5	6	7	8	9	10	11	12	13	14
1	2	3	4	5	6	7	8	9	10	11	12	13	 
 	2	3	4	5	6	7	 	9	10	11	 	13	 
 	2	3	4	5	6	7	8	9	10	11	12	13	14
 	2	3	4	5	6	7	8	9	10	11	 	13	14
1	2	3	4	5	6	7	8	9	10	11	12	13	 
1	2	3	4	5	6	7	8	 	10	11	 	13	 
1	 	 	4	5	6	7	 	9	 	11	 	13	 
1	2	3	4	5	6	7	8	9	10	 	 	13	 
1	2	3	4	5	6	7	8	 	10	11	 	13	14
1	 	 	 	5	 	7	 	9	 	11	 	13	 
1	 	 	 	5	 	7	 	 	 	11	 	13	 
1	 	 	 	 	6	7	 	 	 	 	 	13	 
1	 	 	 	5	 	7	 	9	 	11	 	13	 
1	 	 	 	5	 	7	 	9	10	11	 	13	 
1	2	 	 	5	6	7	8	 	10	11	 	13	 
1	2	3	 	5	6	7	8	 	10	11	 	13	 
1	 	 	 	5	 	7	 	9	 	11	 	13	 
1	2	 	 	5	6	7	 	9	10	11	 	13	14
1	2	3	4	5	6	 	8	9	10	11	 	13	14
1	2	3	4	5	6	7	8	9	10	11	12	 	14
1	2	3	4	5	6	7	8	9	10	11	12	 	14
1	2	3	4	5	6	7	8	9	10	11	12	 	14
1	2	3	4	5	6	7	8	9	10	 	12	 	14
1	2	3	4	5	6	7	8	 	10	11	 	13	14
1	2	3	4	5	6	7	8	 	10	11	 	13	14
1	 	 	4	5	6	 	 	9	10	11	 	13	 
1	 	 	 	5	 	 	 	9	10	 	 	13	14
1	 	 	4	5	6	7	8	9	10	11	 	13	14
1	2	3	4	5	6	 	 	9	10	11	 	13	14
1	2	3	4	5	6	7	8	 	10	11	 	13	14
1	2	3	4	5	6	7	8	 	10	11	12	13	14
1	 	 	 	5	6	7	 	 	10	11	 	13	 
1	 	 	4	5	6	 	 	 	 	11	 	13	14
1	 	 	4	5	6	 	 	 	10	11	 	13	 
1	 	 	 	 	6	 	 	 	10	11	 	13	 
 	 	 	 	 	 	 	 	 	10	11	 	13	 
 	 	 	 	 	 	 	 	 	10	11	 	13	 
 	 	 	4	 	 	 	 	 	10	 	 	13	14
